account,uID,institution,province,provinceID,weiboURL,oID,pageID,followingNum,followerNum,bowenNum
畅通滨海,,,,,https://weibo.com/u/1829071852?is_all=1,1829071852,1001061829071852,542,1103,468
滨海教育,,,,,https://weibo.com/u/5554012772?is_all=1,5554012772,1001065554012772,61,299,1327
大丰交警,,,,,,,,,,
江苏水利厅,,,,,,,,,,
国家电网,,,,,https://weibo.com/sgcc?is_all=1,1730306175,1006061730306175,1031,120412,1608
国网江苏电力,,,,,https://weibo.com/sgccjsdl?is_all=1,2113535642,1001062113535642,296,134074,14943
国网盐城供电公司,,,,,https://weibo.com/u/3516679003?is_all=1,3516679003,1006063516679003,132,728,2567
公安部交通安全微发布,,,,,https://weibo.com/u/2501519087?is_all=1,2501519087,1001062501519087,313,5029000,14513
中国政府网,,,,,https://weibo.com/zhengfu?is_all=1,5000609535,1001065000609535,95,16582483,19143
微博江苏,,,,,https://weibo.com/weibojiangsu?is_all=1,2784361770,1001062784361770,502,2767857,25597
盐城发布,,,,,https://weibo.com/u/5477333519?is_all=1,5477333519,1001065477333519,105,89653,9060
文明阜宁,,,,,https://weibo.com/u/5055520743?is_all=1,5055520743,1001065055520743,20,1124,2819
幸福大丰,,,,,https://weibo.com/xingfudafeng?is_all=1,2696123751,1001062696123751,,,
健康中国,,,,,https://weibo.com/jiankangzhongguo?is_all=1,2834480301,1001062834480301,384,2136730,8133
健康苏州微博,,,,,,,,,,
公安部打四黑除四害,,,,,https://weibo.com/dshcsh?is_all=1,2328516855,1001062328516855,424,29257289,53885
平安江苏,,,,,https://weibo.com/ywy20020413?is_all=1,1935167034,1001061935167034,1506,2682566,18116
平安盐城,,,,,https://weibo.com/ycgaxwb?is_all=1,1910370220,1001061910370220,1810,224292,7428
平安盐都,,,,,https://weibo.com/ydga?is_all=1,1867542644,1001061867542644,862,13657,512
建湖公安,,,,,https://weibo.com/jhgaj?is_all=1,5627430791,1001065627430791,77,628,612
射阳公安,,,,,,,,,,
平安滨海,,,,,https://weibo.com/binhai110?is_all=1,1818025250,1001061818025250,910,8137,4355
江苏教育发布,,,,,https://weibo.com/u/3674007143?is_all=1,3674007143,1001063674007143,535,142426,14620
盐城教育政务,,,,,https://weibo.com/jsycedu?is_all=1,5134007182,1001065134007182,186,2405,3208
阜宁县教育,,,,,https://weibo.com/fnjyj?is_all=1,5068563727,1001065068563727,1757,1403,1362
中国消防,,,,,https://weibo.com/smtdtyhd?is_all=1,3549916270,1001063549916270,1089,2513819,22060
江苏消防,,,,,https://weibo.com/jsxfxc?is_all=1,2258717480,1001062258717480,170,288288,6688
盐城消防OnLine,,,,,https://weibo.com/u/3326542874?is_all=1,3326542874,1001063326542874,86,190202,7237
江苏环保,,,,,https://weibo.com/u/2729070152?is_all=1,2729070152,1001062729070152,734,2159218,20092
中国气象局,,,,,https://weibo.com/u/2117508734?is_all=1,2117508734,1001062117508734,995,2631067,33437
江苏气象,,,,,https://weibo.com/jsqx?is_all=1,2233270392,1001062233270392,292,493422,41561
盐城气象,,,,,https://weibo.com/yanchengqixiang?is_all=1,2058606474,1001062058606474,114,293497,19379
盐都气象,,,,,https://weibo.com/ydqx2013?is_all=1,3173835052,1001063173835052,106,629,6336
大丰气象,,,,,https://weibo.com/dfqxj2013?is_all=1,3174048472,1001063174048472,80,13800,14244
东台气象,,,,,https://weibo.com/dtqxj?is_all=1,3176236304,1001063176236304,63,46808,10023
射阳气象,,,,,https://weibo.com/u/3173000610?is_all=1,3173000610,1001063173000610,15,3387,7327
生态阜宁,,,,,https://weibo.com/u/3941375942?is_all=1,3941375942,1001063941375942,34,155,284
平安法治盐龙,,,,,https://weibo.com/329345030?is_all=1,5951858644,1001065951858644,52,1971,23
江苏省东台市三灶村委会,,,,,https://weibo.com/u/2647761643?is_all=1,2647761643,1001062647761643,130,260,59
东台市梁垛镇,,,,,https://weibo.com/dtsldz?is_all=1,5208326354,1001065208326354,20,34,0
东台市梁垛镇梁垛村,,,,,https://weibo.com/u/3341057802?is_all=1,3341057802,1001063341057802,120,88,108
幸福-三龙,,,,,https://weibo.com/u/6100163402?is_all=1,6100163402,1001066100163402,61,13,94
冈西发布,,,,,https://weibo.com/u/5305764547?is_all=1,5305764547,1001065305764547,30,21,43
宝塔发布,,,,,https://weibo.com/u/5294079812?is_all=1,5294079812,1001065294079812,46,31,5
秀夫故里-----建阳,,,,,https://weibo.com/u/5310428072?is_all=1,5310428072,1001065310428072,75,32,240
恒济在线,,,,,https://weibo.com/u/5304376389?is_all=1,5304376389,1001065304376389,82,150,219
颜单发布,,,,,https://weibo.com/u/5303923927?is_all=1,5303923927,1001065303923927,235,191,245
沿河在线,,,,,https://weibo.com/u/2612490365?is_all=1,2612490365,1001062612490365,68,1093,214
芦沟发布,,,,,https://weibo.com/u/2879060972?is_all=1,2879060972,1001062879060972,142,72,155
上冈fabu,,,,,https://weibo.com/u/5324032747?is_all=1,5324032747,1001065324032747,126,62,55
高作发布,,,,,https://weibo.com/u/5303745207?is_all=1,5303745207,1001065303745207,42,28,1
美丽特庸,,,,,https://weibo.com/u/3213990180?is_all=1,3213990180,1001063213990180,58,51,193
魅力五汛,,,,,https://weibo.com/u/2738390132?is_all=1,2738390132,1001062738390132,187,68984,166
